Category,Name,Variant Name,Price,URL,Image,Alcool,Type,uid
Bière,Saison,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/isle_de_garde_saison_600_714.png?v=1615915943,5.8%,blonde,7c9147df131a45fdb2b0359ed580a8b7
Bière,Jet Set,,4.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/jet-set,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/Avant_garde_jet_set_600_714.png?v=1617639392,5%,blonde,c753a16061584c07a4f4e54d6d9c7bff
Bière,Grisette,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/grisette-1,,5%,blonde,460911d4eae24f22910f6b282181009f
Bière,Saison Station 55,,5.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/station-55,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/hopfenstark_saison_station_55_600_714.png?v=1615918528,6.5%,blonde,dc3f71b1f240456c873f78a97e54c98c
Bière,Ippon soba lager,,5.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/ippon-soba-lager,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ippon_soba_lager_600_714.png?v=1615920408,5%,blonde,0fb6cb52536941478032f8bf38e325cd
Bière,Ippon gingembre et poivre sansho,,5.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/ippon-gingembre-et-poivre-sansho,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/ippon_gingembre_et_poivre_sansho_600_714.png?v=1615920706,5%,blonde,0eb52e6621344e24aa790a43d6b53491
Bière,Zwickelbier,,7.25,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/zwickelbier,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/le_cheval_blanc_zwickelbier_600_714.png?v=1616093186,4.9%,blonde,3f2d17db506f45baac28a1a6bb93d27d
Bière,Bière de Table,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/biere-de-table-1,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/la_ferme_de_table_600_714.png?v=1617317852,4%,blonde,81f1ad0ac20f4dd098e70e75908c50de
Bière,Saison,,7.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-1,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/la_ferme_saison_600_714.png?v=1616092015,6.5%,blonde,67ff0dbc296743bc9fce117505f6807f
Bière,Saison station 16,,5.50,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-16,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/hopfenstark_saison_station_16_600_714.png?v=1615918891,6.5%,blonde,5492914acabe40209420bc11640c6ced
Bière,Saison brett et limette,,6.00,https://boutique.veuxtuunebiere.com/collections/blonde-1/products/saison-brett-et-limette,https://cdn.shopify.com/s/files/1/0543/8482/0409/products/shelton_saison_brett_et_limette_600_714.png?v=1617123333,6.5%,blonde,a29edc0a5aee44caa497fe1c8a7b6846
